id,name,salary_from,salary_to,currency,role,city,fmt,experience,employer,date,key_skills,grade
126817560,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Москва,не указано,от 3 до 6 лет,KAMAZ DIGITAL,2025-10-22,"['Бизнес-анализ', 'BPMN', 'SQL', 'Анализ бизнес-процессов', 'UML']",middle+/senior
126825698,Аналитик,110000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Москва,гибрид,от 3 до 6 лет,VK,2025-10-22,"['SQL', 'Python', 'Power BI', 'Анализ данных', 'PostgreSQL']",middle+/senior
126819384,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,не указано,от 1 года до 3 лет,КВАРТА ВК,2025-10-22,"['Системный анализ', 'Разработка информационных систем', 'Кадровый учёт']",junior+/middle
126836677,Аналитик,110000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Москва,гибрид,от 1 года до 3 лет,Иви,2025-10-22,"['SQL', 'Python', 'Power BI', 'Анализ данных', 'PostgreSQL']",junior+/middle
126826098,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Новосибирск,гибрид,от 1 года до 3 лет,Рокетбанк,2025-10-22,"['Бизнес-анализ', 'BPMN', 'SQL', 'Анализ бизнес-процессов', 'UML']",junior+/middle
126718438,ML-разработчик,220000.0,100000.0,RUR,Дата-сайентист,Москва,гибрид,нет опыта,BND LLC,2025-10-20,"['Computer Vision', 'Python', 'OpenCV', 'NamPy', 'pandas', 'ML', 'SQL', 'TensorPT']",стажёр/junior
126814509,Системный аналитик,110000.0,200000.0,RUR,Аналитик,Самара,не указано,от 3 до 6 лет,Открытые решения,2025-10-22,"['UML', 'BPMN', 'Постановка задач разработчикам', 'Работа с базами данных', 'SQL', 'Системный анализ']",middle+/senior
126791318,Аналитик,110000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Москва,не указано,более 6 лет,IT-Implant,2025-10-21,"['SQL', 'Python', 'Power BI', 'Анализ данных', 'PostgreSQL']",senior+
126759958,Системный аналитик,250000.0,350000.0,RUR,Системный аналитик,Москва,не указано,от 3 до 6 лет,YLAB Development,2025-10-21,"['REST', 'SQL', 'BPMN', 'PostgreSQL']",middle+/senior
126831061,Аналитик,110000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Москва,гибрид,нет опыта,ИК СИБИНТЕК,2025-10-22,"['SQL', 'VBA', 'Python', 'CSS', 'JavaScript', 'HTML']",стажёр/junior
126502039,Системный аналитик,140000.0,225000.0,RUR,Продуктовый аналитик,Москва,не указано,от 3 до 6 лет,КИТТ,2025-10-14,"['Бизнес-анализ', 'Системный анализ', 'Деловая коммуникация', 'Постановка задач разработчикам', 'Системный подход', 'SCADA', 'Навыки презентации', 'Аналитика', 'ЕСКД', 'Full-stack', 'User Story', 'Figma', 'Use case', 'SQL', 'Анализ бизнес-процессов', 'UML', 'BPMN', 'Описание бизнес-процессов', 'Разработка технических заданий', 'Разработка функциональных требований']",middle+/senior
126732165,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Москва,гибрид,от 3 до 6 лет,МойОфис,2025-10-20,"['Бизнес-анализ', 'SQL', 'Аналитическое мышление', 'Анализ бизнес-процессов', 'Анализ требований']",middle+/senior
124536619,Аналитик,110000.0,200000.0,RUR,Аналитик,Москва,не указано,нет опыта,GlowByte,2025-09-26,"['SQL', 'аналитика']",стажёр/junior
126708390,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Санкт-Петербург,не указано,от 1 года до 3 лет,РСТЕХ,2025-10-20,"['Постановка задач разработчикам', 'Анализ требований', 'User Story', 'BPMN', 'Приемочное тестирование']",junior+/middle
123669539,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,не указано,от 3 до 6 лет,Сравни,2025-09-29,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",middle+/senior
126775020,Аналитик,110000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Москва,не указано,от 1 года до 3 лет,RedLab,2025-10-21,"['discovery', 'обследования', 'MS SQL', 'Сбор требований']",junior+/middle
126830358,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Санкт-Петербург,гибрид,от 3 до 6 лет,Saber Interactive,2025-10-22,"['Бизнес-анализ', 'BPMN', 'SQL', 'Анализ бизнес-процессов', 'UML']",middle+/senior
